year,month,average_temp,month_name
1999,1,6.044378320935175,January
1999,2,10.624765747590226,February
1999,3,2.5095719381688464,March
1999,4,-2.0113158474763058,April
1999,5,-4.859722814498934,May
1999,6,-1.6773637264618433,June
1999,7,1.9640295934492171,July
1999,8,1.6945632333767928,August
1999,9,-0.6879864294883551,September
1999,10,-1.7641182873730044,October
1999,11,13.741653973089617,November
1999,12,12.252487060041409,December
2000,1,10.603068902065017,January
2000,2,17.543334272432737,February
2000,3,12.820039358159248,March
2000,4,0.49257173219978745,April
2000,5,7.835014113801813,May
2000,6,-1.58746122795836,June
2000,7,-1.0899395117736013,July
2000,8,3.5221161678767485,August
2000,9,0.6097334504979497,September
2000,10,-0.6487497832495231,October
2000,11,-4.000158520475561,November
2000,12,-14.79615013081103,December
2001,1,0.8885617283950618,January
2001,2,4.510846181427035,February
2001,3,-1.6937449039021548,March
2001,4,7.1814472580915645,April
2001,5,6.289359337546307,May
2001,6,-2.3225089809037627,June
2001,7,0.11790227142584461,July
2001,8,6.495103568320279,August
2001,9,-1.2895358024691357,September
2001,10,-0.35841867809609745,October
2001,11,8.698649302590379,November
2001,12,15.13043062200957,December
2002,1,14.468107849393746,January
2002,2,8.991385440180586,February
2002,3,-13.723163565132223,March
2002,4,6.7006560154926165,April
2002,5,-3.886728368489023,May
2002,6,3.3223438113948918,June
2002,7,5.002988487108805,July
2002,8,2.79688268771801,August
2002,9,7.007525481313704,September
2002,10,-2.9046632653061226,October
2002,11,1.7430683269476372,November
2002,12,9.806178790534618,December
2003,1,5.870747683235047,January
2003,2,-2.9346430976430975,February
2003,3,-6.399021589343133,March
2003,4,-4.864960500329164,April
2003,5,5.174576020690929,May
2003,6,-3.8558929395477617,June
2003,7,4.4153922452660055,July
2003,8,5.584982105857977,August
2003,9,1.0078469633852225,September
2003,10,5.350628869338547,October
2003,11,6.181330004539265,November
2003,12,8.79189352360044,December
2004,1,-1.6958668315811172,January
2004,2,-0.9656723963599595,February
2004,3,12.402799015348972,March
2004,4,4.984490861618799,April
2004,5,0.4396555721145885,May
2004,6,-0.7221046611381183,June
2004,7,-4.963504420961828,July
2004,8,-6.242128440366972,August
